label,id,confusable_char,confusable_unicode
ʔi,\u0294\u0069,"Ɂi,ɂi,ॽi","\u0241\u0069,\u0242\u0069,\u097d\u0069"
ʔii,\u0294\u0069\u0069,"Ɂii,ɂii,ॽii","\u0241\u0069\u0069,\u0242\u0069\u0069,\u097d\u0069\u0069"
ʔu,\u0294\u0075,"Ɂu,ɂu,ॽu","\u0241\u0075,\u0242\u0075,\u097d\u0075"
ʔuu,\u0294\u0075\u0075,"Ɂuu,ɂuu,ॽuu","\u0241\u0075\u0075,\u0242\u0075\u0075,\u097d\u0075\u0075"
ɂ,\u0242,"ˀ,ॽ","\u02c0,\u097d"
ˀ,\u02c0,,
ʼ,\u02bc," ̒, ̓, ̔, ̕,ˈ,’,՚","\u0312,\u0313,\u0314,\u0315,\u02c8,\u2019,\u055a"
ʕ,\u0295,,
ʕ̓,\u0295\u0313,"ʕˈ,ʕ̕,ʕ̒,ʕ̔,ʕʼ,ʕ’,ʕ՚","\u0295\u02c8,\u0295\u0315,\u0295\u0312,\u0295\u0314,\u0295\u02bc,\u0295\u2019,\u0295\u055a"
ʕ̕,\u0295\u0315,"ʕˈ,ʕ̓,ʕ̒,ʕ̔,ʕʼ,ʕ’,ʕ՚","\u0295\u02c8,\u0295\u0313,\u0295\u0312,\u0295\u0314,\u0295\u02bc,\u0295\u2019,\u0295\u055a"
ʕa,\u0295\u0061,,
ʕaa,\u0295\u0061\u0061,,
ʕe,\u0295\u0065,,
ʕee,\u0295\u0065\u0065,,
ʕi,\u0295\u0069,,
ʕii,\u0295\u0069\u0069,,
ʕu,\u0295\u0075,,
ʕuu,\u0295\u0075\u0075,,
ʕʷ,\u0295\u02b7,,
ʕ̓ʷ,\u0295\u0313\u02b7,"ʕˈʷ,ʕ̕ʷ,ʕ̒ʷ,ʕ̔ʷ,ʕʼʷ,ʕ’ʷ,ʕ՚ʷ","\u0295\u02c8\u02b7,\u0295\u0315\u02b7,\u0295\u0312\u02b7,\u0295\u0314\u02b7,\u0295\u02bc\u02b7,\u0295\u2019\u02b7,\u0295\u055a\u02b7"
ʕʼ,\u0295\u02bc,"ʕ̓,ʕ̕,ʕ̒,ʕ̔,ʕˈ,ʕ’,ʕ՚","\u0295\u0313,\u0295\u0315,\u0295\u0312,\u0295\u0314,\u0295\u02c8,\u0295\u2019,\u0295\u055a"
ʕʼʷ,\u0295\u02bc\u02b7,"ʕ̓ʷ,ʕ̕ʷ,ʕ̒ʷ,ʕ̔ʷ,ʕˈʷ,ʕ’ʷ,ʕ՚ʷ","\u0295\u0313\u02b7,\u0295\u0315\u02b7,\u0295\u0312\u02b7,\u0295\u0314\u02b7,\u0295\u02c8\u02b7,\u0295\u2019\u02b7,\u0295\u055a\u02b7"
ǂ,\u01c2,ⱡ,\u2c61
θ,\u03b8,"Θ,ϴ","\u0398,\u03f4"
λ,\u03bb,ᵬC,\u1d6c\u0043
χ,\u03c7,Χ,\u03a7
χʷ,\u03c7\u02b7,Χʷ,\u03a7\u02b7
א,\u05d0,,
ᐁ,\u1401,,
ᐃ,\u1403,,
ᐅ,\u1405,,
ᐊ,\u140a,,
ᐟ,\u141f,,
ᐠ,\u1420,,
ᐢ,\u1422,,
ᐣ,\u1423,,
ᐤ,\u1424,,
ᐦ,\u1426,,
ᐧ,\u1427,,
ᐨ,\u1428,,
ᐩ,\u1429,,
ᐯ,\u142f,,
ᐱ,\u1431,,
ᐳ,\u1433,,
ᐸ,\u1438,,
ᑊ,\u144a,,
ᑌ,\u144c,,
ᑎ,\u144e,,
ᑐ,\u1450,,
ᑕ,\u1455,,
ᑫ,\u146b,,
ᑭ,\u146d,,
ᑯ,\u146f,,
ᑲ,\u1472,,
ᒉ,\u1489,,
ᒋ,\u148b,,
ᒍ,\u148d,,
ᒐ,\u1490,,
ᒣ,\u14a3,,
ᒥ,\u14a5,,
ᒧ,\u14a7,,
ᒪ,\u14aa,,
ᒼ,\u14bc,ᑦ,\u1466
ᓀ,\u14c0,,
ᓂ,\u14c2,,
ᓄ,\u14c4,,
ᓇ,\u14c7,,
ᓭ,\u14ed,,
ᓯ,\u14ef,,
ᓱ,\u14f1,,
ᓴ,\u14f4,,
ᔦ,\u1526,,
ᔨ,\u1528,,
ᔪ,\u152a,,
ᔭ,\u152d,,
’A,\u2019\u0041,"ˈA,̕A,̒A,̔A,ʼA,՚A","\u02c8\u0041,\u0315\u0041,\u0312\u0041,\u0314\u0041,\u02bc\u0041,\u055a\u0041"
’C,\u2019\u0043,"ˈC,̕C,̒C,̔C,ʼC,՚C","\u02c8\u0043,\u0315\u0043,\u0312\u0043,\u0314\u0043,\u02bc\u0043,\u055a\u0043"
’K,\u2019\u004b,"ˈK,̕K,̒K,̔K,ʼK,՚K","\u02c8\u004b,\u0315\u004b,\u0312\u004b,\u0314\u004b,\u02bc\u004b,\u055a\u004b"
’Kv,\u2019\u004b\u0076,"ˈKv,̕Kv,̒Kv,̔Kv,ʼKv,՚Kv","\u02c8\u004b\u0076,\u0315\u004b\u0076,\u0312\u004b\u0076,\u0314\u004b\u0076,\u02bc\u004b\u0076,\u055a\u004b\u0076"
’L,\u2019\u004c,"ˈL,̕L,̒L,̔L,ʼL,՚L","\u02c8\u004c,\u0315\u004c,\u0312\u004c,\u0314\u004c,\u02bc\u004c,\u055a\u004c"
’M,\u2019\u004d,"ˈM,̕M,̒M,̔M,ʼM,’M,՚M","\u02c8\u004d,\u0315\u004d,\u0312\u004d,\u0314\u004d,\u02bc\u004d,\u2019\u004d,\u055a\u004d"
’N,\u2019\u004e,"ˈN,̕N,̒N,̔N,ʼN,՚N","\u02c8\u004e,\u0315\u004e,\u0312\u004e,\u0314\u004e,\u02bc\u004e,\u055a\u004e"
’P,\u2019\u0050,"ˈP,̕P,̒P,̔P,ʼP,՚P","\u02c8\u0050,\u0315\u0050,\u0312\u0050,\u0314\u0050,\u02bc\u0050,\u055a\u0050"
’Q,\u2019\u0051,"ˈQ,̕Q,̒Q,̔Q,ʼQ,՚Q","\u02c8\u0051,\u0315\u0051,\u0312\u0051,\u0314\u0051,\u02bc\u0051,\u055a\u0051"
’Qv,\u2019\u0051\u0076,"ˈQv,̕Qv,̒Qv,̔Qv,ʼQv,՚Qv","\u02c8\u0051\u0076,\u0315\u0051\u0076,\u0312\u0051\u0076,\u0314\u0051\u0076,\u02bc\u0051\u0076,\u055a\u0051\u0076"
’T,\u2019\u0054,"ˈT,̕T,̒T,̔T,ʼT,՚T","\u02c8\u0054,\u0315\u0054,\u0312\u0054,\u0314\u0054,\u02bc\u0054,\u055a\u0054"
’Th,\u2019\u0054\u0068,"ˈTh,̕Th,̒Th,̔Th,ʼTh,՚Th","\u02c8\u0054\u0068,\u0315\u0054\u0068,\u0312\u0054\u0068,\u0314\u0054\u0068,\u02bc\u0054\u0068,\u055a\u0054\u0068"
’W,\u2019\u0057,"ˈW,̕W,̒W,̔W,ʼW,՚W","\u02c8\u0057,\u0315\u0057,\u0312\u0057,\u0314\u0057,\u02bc\u0057,\u055a\u0057"
’Y,\u2019\u0059,"ˈY,̕Y,̒Y,̔Y,ʼY,՚Y","\u02c8\u0059,\u0315\u0059,\u0312\u0059,\u0314\u0059,\u02bc\u0059,\u055a\u0059"
ˇG,\u02c7\u0047, ̌G, \u030c\u0047
ˇGv,\u02c7\u0047\u0076, ̌Gv, \u030c\u0047\u0076
ˇX,\u02c7\u0058, ̌X, \u030c\u0058
ˇXv,\u02c7\u0058\u0076, ̌Xv, \u030c\u0058\u0076
⅄,\u2144,,
A̓,\u0041\u0313,"Aˈ,A̕,A̒,A̔,Aʼ,A’,A՚","\u0041\u02c8,\u0041\u0315,\u0041\u0312,\u0041\u0314,\u0041\u02bc,\u0041\u2019,\u0041\u055a"
Ā,\u0100,Ā,\u0041\u0304
A̱,\u0041\u0331,"A̲,A̠,A_","\u0041\u0332,\u0041\u0320,\u0041\u005f"
AA,\u0041\u0041,,
AH,\u0041\u0048,,
AO,\u0041\u004f,,
AÓ,\u0041\u00d3,AÓ,\u0041\u004f\u0301
ÁO,\u00c1\u004f,ÁO,\u0041\u0301\u004f
C̓,\u0043\u0313,"Cˈ,C̕,C̒,C̔,Cʼ,C’,C՚","\u0043\u02c8,\u0043\u0315,\u0043\u0312,\u0043\u0314,\u0043\u02bc,\u0043\u2019,\u0043\u055a"
Ĉ,\u0108,Ĉ,\u0043\u0302
C̣,\u0043\u0323,,
CH,\u0043\u0048,,
CH',\u0043\u0048\u0027,"CH＇,CH’,CH̓,CH̕,CH̒,CH̔,CHʼ,CHˈ,CH՚","\u0043\u0048\uff07,\u0043\u0048\u2019,\u0043\u0048\u0313,\u0043\u0048\u0315,\u0043\u0048\u0312,\u0043\u0048\u0314,\u0043\u0048\u02bc,\u0043\u0048\u02c8,\u0043\u0048\u055a"
Ch',\u0043\u0068\u0027,"Ch＇,Ch’,Ch̓,Ch̕,Ch̒,Ch̔,Chʼ,Chˈ,Ch՚","\u0043\u0068\uff07,\u0043\u0068\u2019,\u0043\u0068\u0313,\u0043\u0068\u0315,\u0043\u0068\u0312,\u0043\u0068\u0314,\u0043\u0068\u02bc,\u0043\u0068\u02c8,\u0043\u0068\u055a"
CH’,\u0043\u0048\u2019,"CH̓,CH̕,CH̒,CH̔,CHʼ,CHˈ,CH՚,CH＇,CH'","\u0043\u0048\u0313,\u0043\u0048\u0315,\u0043\u0048\u0312,\u0043\u0048\u0314,\u0043\u0048\u02bc,\u0043\u0048\u02c8,\u0043\u0048\u055a,\u0043\u0048\uff07,\u0043\u0048\u0027"
CW,\u0043\u0057,,
Dh,\u0044\u0068,,
DH,\u0044\u0048,,
DL,\u0044\u004c,,
Dl,\u0044\u006c,,
DŁ,\u0044\u0141,"DL̸,DL̷","\u0044\u004c\u0338,\u0044\u004c\u0337"
Dᶻ,\u0044\u1dbb,,
DZ,\u0044\u005a,,
Dz,\u0044\u007a,,
DẔ,\u0044\u1e94,"DZ̲,DZ̠,DZ_,DẔ","\u0044\u005a\u0332,\u0044\u005a\u0320,\u0044\u005a\u005f,\u0044\u005a\u0331"
É,\u0045\u0301,,
Ē,\u0112,"Ē,E̅,E︤,E︥,E¯,E‾","\u0045\u0304,\u0045\u0305,\u0045\ufe24,\u0045\ufe25,\u0045\u00af,\u0045\u203e"
EE,\u0045\u0045,,
Ə,\u018f,,
Ə́,\u018f\u0301,,
Ə̣,\u018f\u0323,,
F,\u0046,,
G,\u0047,,
G̓,\u0047\u0313,"Gˈ,G̕,G̒,G̔,Gʼ,G’,G՚","\u0047\u02c8,\u0047\u0315,\u0047\u0312,\u0047\u0314,\u0047\u02bc,\u0047\u2019,\u0047\u055a"
Ĝ,\u011c,Ĝ,\u0047\u0302
Ǧ,\u01e6,Ǧ,\u0047\u030c
G̱,\u0047\u0331,"G̲,G̠,G_","\u0047\u0332,\u0047\u0320,\u0047\u005f"
GH,\u0047\u0048,,
Gh,\u0047\u0068,,
Gv,\u0047\u0076,,
GV,\u0047\u0056,,
ǦV,\u01e6\u0056,ǦV,\u0047\u030c\u0056
GW,\u0047\u0057,,
Gʷ,\u0047\u02b7,,
Gw,\u0047\u0077,,
G̓W,\u0047\u0313\u0057,"GˈW,G̕W,G̒W,G̔W,GʼW,G’W,G՚W","\u0047\u02c8\u0057,\u0047\u0315\u0057,\u0047\u0312\u0057,\u0047\u0314\u0057,\u0047\u02bc\u0057,\u0047\u2019\u0057,\u0047\u055a\u0057"
Ǧʷ,\u01e6\u02b7,Ǧʷ,\u0047\u030c\u02b7
Ǥ,\u01e4,,
ǤW,\u01e4\u0057,,
Ɣ,\u0194,,
Ɣ̓,\u0194\u0313,"Ɣˈ,Ɣ̕,Ɣ̒,Ɣ̔,Ɣʼ,Ɣ’,Ɣ՚","\u0194\u02c8,\u0194\u0315,\u0194\u0312,\u0194\u0314,\u0194\u02bc,\u0194\u2019,\u0194\u055a"
H̓,\u0048\u0313,"Hˈ,H̕,H̒,H̔,Hʼ,H’,H՚","\u0048\u02c8,\u0048\u0315,\u0048\u0312,\u0048\u0314,\u0048\u02bc,\u0048\u2019,\u0048\u055a"
Ĥ,\u0124,Ĥ,\u0048\u0302
Ħ,\u0126,,
HL,\u0048\u004c,,
HW,\u0048\u0057,,
I̓,\u0049\u0313,"Iˈ,I̕,I̒,I̔,Iʼ,I’,I՚","\u0049\u02c8,\u0049\u0315,\u0049\u0312,\u0049\u0314,\u0049\u02bc,\u0049\u2019,\u0049\u055a"
Ī,\u012a,"I̅,I︤,I︥,I¯,I‾","\u0049\u0305,\u0049\ufe24,\u0049\ufe25,\u0049\u00af,\u0049\u203e"
Ị,\u0049\u0323,,
II,\u0049\u0049,,
ÍI,\u0049\u0301\u0049,,
Ĵ,\u0134,Ĵ,\u004a\u0302
K̓,\u004b\u0313,"Kˈ,K̕,K̒,K̔,Kʼ,Ќ,K’,K՚","\u004b\u02c8,\u004b\u0315,\u004b\u0312,\u004b\u0314,\u004b\u02bc,\u040c,\u004b\u2019,\u004b\u055a"
Ḵ̓,\u1e34\u0313,"K̲̓,Ḵ̓,K_̓","\u004b\u0332\u0313,\u004b\u0331\u0313,\u004b\u005f\u0313"
K',\u004b\u0027,"K＇,K’,K̓,K̕,K̒,K̔,Kʼ,Ќ,Kˈ,K՚","\u004b\uff07,\u004b\u2019,\u004b\u0313,\u004b\u0315,\u004b\u0312,\u004b\u0314,\u004b\u02bc,\u040c,\u004b\u02c8,\u004b\u055a"
Ḵ',\u1e34\u0027,"Ḵ＇,Ḵ’,Ḵ̓,Ḵ̕,Ḵ̒,Ḵ̔,Ḵʼ,Ќ̱,Ḵˈ,Ḵ՚,K̲＇,K̲’,K̲̓,K̲̕,K̲̒,K̲̔,K̲ʼ,Ќ̲,K̲ˈ,K̲՚,Ḵ＇,Ḵ’,Ḵ̓,Ḵ̕,Ḵ̒,Ḵ̔,Ḵʼ,Ḵˈ,Ḵ՚","\u004b\u0331\uff07,\u004b\u0331\u2019,\u004b\u0331\u0313,\u004b\u0331\u0315,\u004b\u0331\u0312,\u004b\u0331\u0314,\u004b\u0331\u02bc,\u040c\u0331,\u004b\u0331\u02c8,\u004b\u0331\u055a,\u004b\u0332\uff07,\u004b\u0332\u2019,\u004b\u0332\u0313,\u004b\u0332\u0315,\u004b\u0332\u0312,\u004b\u0332\u0314,\u004b\u0332\u02bc,\u040c\u0332,\u004b\u0332\u02c8,\u004b\u0332\u055a,\u1e34\uff07,\u1e34\u2019,\u1e34\u0313,\u1e34\u0315,\u1e34\u0312,\u1e34\u0314,\u1e34\u02bc,\u1e34\u02c8,\u1e34\u055a"
K’,\u004b\u2019,"K̓,K̕,K̒,K̔,Kʼ,Ќ,Kˈ,K՚,K＇,K'","\u004b\u0313,\u004b\u0315,\u004b\u0312,\u004b\u0314,\u004b\u02bc,\u040c,\u004b\u02c8,\u004b\u055a,\u004b\uff07,\u004b\u0027"
KH,\u004b\u0048,,
Kv,\u004b\u0076,,
KV,\u004b\u0056,,
K̓V,\u004b\u0313\u0056,"KˈV,K̕V,K̒V,K̔V,KʼV,ЌV,K’V,K՚V","\u004b\u02c8\u0056,\u004b\u0315\u0056,\u004b\u0312\u0056,\u004b\u0314\u0056,\u004b\u02bc\u0056,\u040c\u0056,\u004b\u2019\u0056,\u004b\u055a\u0056"
Kʷ,\u004b\u02b7,,
KW,\u004b\u0057,,
K̓ʷ,\u004b\u0313\u02b7,"Kˈʷ,K̕ʷ,K̒ʷ,K̔ʷ,Kʼʷ,Ќʷ,K’ʷ,K՚ʷ","\u004b\u02c8\u02b7,\u004b\u0315\u02b7,\u004b\u0312\u02b7,\u004b\u0314\u02b7,\u004b\u02bc\u02b7,\u040c\u02b7,\u004b\u2019\u02b7,\u004b\u055a\u02b7"
K̓W,\u004b\u0313\u0057,"KˈW,K̕W,K̒W,K̔W,KʼW,ЌW,K’W,K՚W","\u004b\u02c8\u0057,\u004b\u0315\u0057,\u004b\u0312\u0057,\u004b\u0314\u0057,\u004b\u02bc\u0057,\u040c\u0057,\u004b\u2019\u0057,\u004b\u055a\u0057"
K̕W,\u004b\u0315\u0057,"KˈW,K̓W,K̒W,K̔W,KʼW,ЌW,K’W,K՚W","\u004b\u02c8\u0057,\u004b\u0313\u0057,\u004b\u0312\u0057,\u004b\u0314\u0057,\u004b\u02bc\u0057,\u040c\u0057,\u004b\u2019\u0057,\u004b\u055a\u0057"
ḴW,\u004b\u0331\u0057,"K̲W,K̠W,K_W","\u004b\u0332\u0057,\u004b\u0320\u0057,\u004b\u005f\u0057"
Ḵ̕W,\u004b\u0331\u0315\u0057,"K̲ˈW,K̲̕W,K̲̒W,K̲̔W,K̲ʼW,K̲’W,K̲՚W,K̠ˈW,K̠̕W,K̠̒W,K̠̔W,K̠ʼW,K̠’W,K̠՚W,K_ˈW,K_̕W,K_̒W,K_̔W,K_ʼW,K_ЌW,K_’W,K_՚W,ḴˈW,Ḵ̓W,Ḵ̒W,Ḵ̔W,ḴʼW,ḴЌW,Ḵ’W,Ḵ՚W","\u004b\u0332\u02c8\u0057,\u004b\u0332\u0315\u0057,\u004b\u0332\u0312\u0057,\u004b\u0332\u0314\u0057,\u004b\u0332\u02bc\u0057,\u004b\u0332\u2019\u0057,\u004b\u0332\u055a\u0057,\u004b\u0320\u02c8\u0057,\u004b\u0320\u0315\u0057,\u004b\u0320\u0312\u0057,\u004b\u0320\u0314\u0057,\u004b\u0320\u02bc\u0057,\u004b\u0320\u2019\u0057,\u004b\u0320\u055a\u0057,\u004b\u005f\u02c8\u0057,\u004b\u005f\u0315\u0057,\u004b\u005f\u0312\u0057,\u004b\u005f\u0314\u0057,\u004b\u005f\u02bc\u0057,\u004b\u005f\u040c\u0057,\u004b\u005f\u2019\u0057,\u004b\u005f\u055a\u0057,\u004b\u0331\u02c8\u0057,\u004b\u0331\u0313\u0057,\u004b\u0331\u0312\u0057,\u004b\u0331\u0314\u0057,\u004b\u0331\u02bc\u0057,\u004b\u0331\u040c\u0057,\u004b\u0331\u2019\u0057,\u004b\u0331\u055a\u0057"
KW',\u004b\u0057\u0027,"KW＇,KW’,KW̓,KW̕,KW̒,KW̔,KWʼ,KWˈ,KW՚","\u004b\u0057\uff07,\u004b\u0057\u2019,\u004b\u0057\u0313,\u004b\u0057\u0315,\u004b\u0057\u0312,\u004b\u0057\u0314,\u004b\u0057\u02bc,\u004b\u0057\u02c8,\u004b\u0057\u055a"
KW’,\u004b\u0057\u2019,"KW̓,KW̕,KW̒,KW̔,KWʼ,KWˈ,KW՚,KW＇,KW'","\u004b\u0057\u0313,\u004b\u0057\u0315,\u004b\u0057\u0312,\u004b\u0057\u0314,\u004b\u0057\u02bc,\u004b\u0057\u02c8,\u004b\u0057\u055a,\u004b\u0057\uff07,\u004b\u0057\u0027"
L̲,\u004c\u0332,"Ḻ,L̠,L_","\u004c\u0331,\u004c\u0320,\u004c\u005f"
L̓,\u004c\u0313,"Lˈ,L̕,L̒,L̔,Lʼ,L’,L՚","\u004c\u02c8,\u004c\u0315,\u004c\u0312,\u004c\u0314,\u004c\u02bc,\u004c\u2019,\u004c\u055a"
L̀,\u004c\u0300,,
Ľ,\u013d,Ľ,\u004c\u030c
Ḷ,\u1e36,Ḷ,\u004c\u0323
Ḷ̓,\u1e36\u0313,,
Ḷ́,\u1e36\u0301,"Ḷˈ,Ḷ̕,Ḷ̒,Ḷ̔,Ḷʼ,Ḷ’,Ḷ՚,Ḷˈ,Ḷ̕,Ḷ̒,Ḷ̔,Ḷʼ,Ḷ’,Ḷ՚","\u1e36\u02c8,\u1e36\u0315,\u1e36\u0312,\u1e36\u0314,\u1e36\u02bc,\u1e36\u2019,\u1e36\u055a,\u004c\u0323\u02c8,\u004c\u0323\u0315,\u004c\u0323\u0312,\u004c\u0323\u0314,\u004c\u0323\u02bc,\u004c\u0323\u2019,\u004c\u0323\u055a"
Lh,\u004c\u0068,,
LH,\u004c\u0048,,
LL,\u004c\u004c,,
Ɫ,\u2c62,,
M̓,\u004d\u0313,"Mˈ,M̕,M̒,M̔,Mʼ,M’,M՚","\u004d\u02c8,\u004d\u0315,\u004d\u0312,\u004d\u0314,\u004d\u02bc,\u004d\u2019,\u004d\u055a"
Ṃ,\u1e42,Ṃ,\u004d\u0323
Ṃ̓,\u1e42\u0313,"Ṃ̓,Ṃˈ,Ṃ̕,Ṃ̒,Ṃ̔,Ṃʼ,Ṃ’,Ṃ՚,Ṃˈ,Ṃ̕,Ṃ̒,Ṃ̔,Ṃʼ,Ṃ’,Ṃ՚","\u004d\u0323\u0313,\u004d\u0323\u02c8,\u004d\u0323\u0315,\u004d\u0323\u0312,\u004d\u0323\u0314,\u004d\u0323\u02bc,\u004d\u0323\u2019,\u004d\u0323\u055a,\u1e42\u02c8,\u1e42\u0315,\u1e42\u0312,\u1e42\u0314,\u1e42\u02bc,\u1e42\u2019,\u1e42\u055a"
Ṃ́,\u1e42\u0301,Ṃ́,\u004d\u0323\u0301
N̓,\u004e\u0313,"Nˈ,N̕,N̒,N̔,Nʼ,N’,N՚","\u004e\u02c8,\u004e\u0315,\u004e\u0312,\u004e\u0314,\u004e\u02bc,\u004e\u2019,\u004e\u055a"
Ṇ,\u1e46,Ṇ,\u004e\u0323
Ṇ̓,\u1e46\u0313,"Ṇ̓,Ṇˈ,Ṇ̕,Ṇ̒,Ṇ̔,Ṇʼ,Ṇ’,Ṇ՚,Ṇˈ,Ṇ̕,Ṇ̒,Ṇ̔,Ṇʼ,Ṇ’,Ṇ՚","\u004e\u0323\u0313,\u004e\u0323\u02c8,\u004e\u0323\u0315,\u004e\u0323\u0312,\u004e\u0323\u0314,\u004e\u0323\u02bc,\u004e\u0323\u2019,\u004e\u0323\u055a,\u1e46\u02c8,\u1e46\u0315,\u1e46\u0312,\u1e46\u0314,\u1e46\u02bc,\u1e46\u2019,\u1e46\u055a"
Ṇ́,\u1e46\u0301,Ṇ́,\u004e\u0323\u0301
NH,\u004e\u0048,,
Ō,\u014c,"Ō,O̅,O︤,O︥,O¯,O‾","\u004f\u0304,\u004f\u0305,\u004f\ufe24,\u004f\ufe25,\u004f\u00af,\u004f\u203e"
OO,\u004f\u004f,,
OU,\u004f\u0055,,
P̓,\u0050\u0313,"Pˈ,P̕,P̒,P̔,Pʼ,P’,P՚","\u0050\u02c8,\u0050\u0315,\u0050\u0312,\u0050\u0314,\u0050\u02bc,\u0050\u2019,\u0050\u055a"
P',\u0050\u0027,"P＇,P’,P̓,P̕,P̒,P̔,Pʼ,Pˈ,P՚","\u0050\uff07,\u0050\u2019,\u0050\u0313,\u0050\u0315,\u0050\u0312,\u0050\u0314,\u0050\u02bc,\u0050\u02c8,\u0050\u055a"
P’,\u0050\u2019,"P̓,P̕,P̒,P̔,Pʼ,Pˈ,P՚,P＇,P'","\u0050\u0313,\u0050\u0315,\u0050\u0312,\u0050\u0314,\u0050\u02bc,\u0050\u02c8,\u0050\u055a,\u0050\uff07,\u0050\u0027"
Q̓,\u0051\u0313,"Qˈ,Q̕,Q̒,Q̔,Qʼ,Q’,Q՚","\u0051\u02c8,\u0051\u0315,\u0051\u0312,\u0051\u0314,\u0051\u02bc,\u0051\u2019,\u0051\u055a"
Q',\u0051\u0027,"Q＇,Q’,Q̓,Q̕,Q̒,Q̔,Qʼ,Qˈ,Q՚","\u0051\uff07,\u0051\u2019,\u0051\u0313,\u0051\u0315,\u0051\u0312,\u0051\u0314,\u0051\u02bc,\u0051\u02c8,\u0051\u055a"
Q’,\u0051\u2019,"Q̓,Q̕,Q̒,Q̔,Qʼ,Qˈ,Q՚,Q＇,Q'","\u0051\u0313,\u0051\u0315,\u0051\u0312,\u0051\u0314,\u0051\u02bc,\u0051\u02c8,\u0051\u055a,\u0051\uff07,\u0051\u0027"
Qv,\u0051\u0076,,
QV,\u0051\u0056,,
Q̓V,\u0051\u0313\u0056,"QˈV,Q̕V,Q̒V,Q̔V,QʼV,Q’V,Q՚V","\u0051\u02c8\u0056,\u0051\u0315\u0056,\u0051\u0312\u0056,\u0051\u0314\u0056,\u0051\u02bc\u0056,\u0051\u2019\u0056,\u0051\u055a\u0056"
Qʷ,\u0051\u02b7,,
QW,\u0051\u0057,,
Q̓ʷ,\u0051\u0313\u02b7,"Qˈʷ,Q̕ʷ,Q̒ʷ,Q̔ʷ,Qʼʷ,Q’ʷ,Q՚ʷ","\u0051\u02c8\u02b7,\u0051\u0315\u02b7,\u0051\u0312\u02b7,\u0051\u0314\u02b7,\u0051\u02bc\u02b7,\u0051\u2019\u02b7,\u0051\u055a\u02b7"
Q̓W,\u0051\u0313\u0057,"QˈW,Q̕W,Q̒W,Q̔W,QʼW,Q’W,Q՚W","\u0051\u02c8\u0057,\u0051\u0315\u0057,\u0051\u0312\u0057,\u0051\u0314\u0057,\u0051\u02bc\u0057,\u0051\u2019\u0057,\u0051\u055a\u0057"
QW',\u0051\u0057\u0027,"QW＇,QW’,QW̓,QW̕,QW̒,QW̔,QWʼ,QWˈ,QW՚","\u0051\u0057\uff07,\u0051\u0057\u2019,\u0051\u0057\u0313,\u0051\u0057\u0315,\u0051\u0057\u0312,\u0051\u0057\u0314,\u0051\u0057\u02bc,\u0051\u0057\u02c8,\u0051\u0057\u055a"
QW’,\u0051\u0057\u2019,"QW̓,QW̕,QW̒,QW̔,QWʼ,QWˈ,QW՚,QW＇,QW'","\u0051\u0057\u0313,\u0051\u0057\u0315,\u0051\u0057\u0312,\u0051\u0057\u0314,\u0051\u0057\u02bc,\u0051\u0057\u02c8,\u0051\u0057\u055a,\u0051\u0057\uff07,\u0051\u0057\u0027"
R,\u0052,,
R̓,\u0052\u0313,"Rˈ,R̕,R̒,R̔,Rʼ,R’,R՚","\u0052\u02c8,\u0052\u0315,\u0052\u0312,\u0052\u0314,\u0052\u02bc,\u0052\u2019,\u0052\u055a"
S̲,\u0053\u0332,"S̱,S̠,S_","\u0053\u0331,\u0053\u0320,\u0053\u005f"
Ŝ,\u015c,Ŝ,\u0053\u0302
S̱,\u0053\u0331,"S̲,S̠,S_","\u0053\u0332,\u0053\u0320,\u0053\u005f"
SH,\u0053\u0048,,
Sh,\u0053\u0068,,
T̓,\u0054\u0313,"Tˈ,T̕,T̒,T̔,Tʼ,T’,T՚","\u0054\u02c8,\u0054\u0315,\u0054\u0312,\u0054\u0314,\u0054\u02bc,\u0054\u2019,\u0054\u055a"
T̕,\u0054\u0315,"Tˈ,T̓,T̒,T̔,Tʼ,T’,T՚","\u0054\u02c8,\u0054\u0313,\u0054\u0312,\u0054\u0314,\u0054\u02bc,\u0054\u2019,\u0054\u055a"
T',\u0054\u0027,"T＇,T’,T̓,T̕,T̒,T̔,Tʼ,Tˈ,T՚","\u0054\uff07,\u0054\u2019,\u0054\u0313,\u0054\u0315,\u0054\u0312,\u0054\u0314,\u0054\u02bc,\u0054\u02c8,\u0054\u055a"
T’,\u0054\u2019,"T̓,T̕,T̒,T̔,Tʼ,Tˈ,T՚,T＇,T'","\u0054\u0313,\u0054\u0315,\u0054\u0312,\u0054\u0314,\u0054\u02bc,\u0054\u02c8,\u0054\u055a,\u0054\uff07,\u0054\u0027"
Th,\u0054\u0068,,
TH,\u0054\u0048,,
TL,\u0054\u004c,,
TŁ,\u0054\u0141,"TL̸,TL̷","\u0054\u004c\u0338,\u0054\u004c\u0337"
